tradedate;tradetime;B1;B2;B3;T1;G1;G2;G3;G4;G5;G6;G7;G8;G9
21.02.2014;18:39:19;876,911347;-312,232264;94,552017;2,757503;9,339939;-0,351429;-16,997857;4,811365;5,795368;-0,964179;-2,527579;0,000000;0,000000
24.02.2014;18:35:23;865,803921;-315,075667;96,523113;2,521337;2,124154;1,204762;-5,615583;2,486979;6,512135;-1,510503;-3,977290;0,000000;0,000000
25.02.2014;18:33:22;864,462728;-312,441439;97,540256;2,488049;7,618387;0,052578;-13,178432;4,364004;6,614690;-1,209503;-2,042271;0,000000;0,000000
26.02.2014;18:35:25;865,339752;-324,829968;101,573864;2,142808;0,988609;-3,872775;-9,598116;6,958621;2,270435;-2,216090;-0,191069;0,000000;0,000000
27.02.2014;18:38:53;867,364715;-329,634940;102,844614;2,084926;2,385352;-1,884780;-7,687946;5,120601;2,073878;-3,069067;1,441598;0,000000;0,000000
28.02.2014;18:38:35;866,470548;-327,707725;103,715101;2,180987;2,602811;-2,090369;-8,835439;7,641570;2,841371;-3,201373;-1,824823;0,000000;0,000000
03.03.2014;18:31:43;919,042432;-265,967555;92,327283;3,421805;27,115837;-5,383209;-16,137480;4,994106;8,072016;-2,008634;-5,302292;0,000000;0,000000
04.03.2014;18:34:20;905,175740;-265,223247;91,116813;3,423839;18,142562;-12,546067;-18,954734;10,421832;12,116576;-3,943834;-5,949226;0,000000;0,000000
05.03.2014;18:39:43;895,690572;-243,956736;85,844802;3,482581;3,021195;-4,663698;-5,607623;5,585740;12,655673;-4,043724;-5,288253;0,000000;0,000000
06.03.2014;18:39:02;897,025876;-244,409147;91,137329;2,938001;6,651842;-6,934920;-4,155170;12,060341;7,716632;-5,177334;-2,752671;0,000000;0,000000
07.03.2014;18:39:57;888,323110;-244,351832;94,726381;2,372072;1,430571;-18,279473;-5,435185;18,100630;3,504486;-6,487571;1,116091;0,000000;0,000000
11.03.2014;18:39:54;881,579934;-266,579244;104,826483;1,337800;-4,845282;-16,099040;-11,070528;15,978871;8,890435;-3,157310;0,852096;0,000000;0,000000
12.03.2014;18:39:47;916,932393;-314,552225;126,566926;0,965323;-1,943788;-7,715660;-2,481336;6,431611;9,349019;-1,095030;1,317936;0,000000;0,000000
13.03.2014;18:37:46;936,157348;-317,524789;138,917108;1,577189;9,283170;-19,261904;-8,578770;15,087311;12,266014;-1,120929;-1,700434;0,000000;0,000000
14.03.2014;18:39:54;954,912325;-308,452068;156,061431;1,354862;10,627285;-16,317468;-1,738640;18,014980;13,675783;-3,951789;-5,785307;0,000000;0,000000
17.03.2014;18:38:59;918,696877;-357,694144;162,036707;0,993665;-22,633013;-9,233068;-4,183778;3,151452;6,732067;-4,168685;0,385588;0,000000;0,000000
18.03.2014;18:39:51;908,971829;-418,889657;177,966295;0,842135;-6,494501;14,898337;-10,577323;-0,939447;4,845109;2,019980;-0,591247;0,000000;0,000000
19.03.2014;18:38:38;913,062208;-378,040076;175,295364;1,208638;3,836456;10,486415;-6,148058;6,198923;-0,568069;-4,619271;-1,657185;0,000000;0,000000
20.03.2014;18:39:34;923,101362;-321,667186;169,744536;1,398414;8,705765;13,604573;0,099221;0,996752;-2,865017;-4,836753;-4,652024;0,000000;0,000000
21.03.2014;18:35:24;936,711290;-317,620147;171,796884;1,522582;7,673573;-10,233875;10,691642;-1,729814;-2,955046;-4,309003;-5,214457;0,000000;0,000000
24.03.2014;18:38:56;927,597416;-289,373003;167,082850;1,945069;12,998213;-13,079305;3,405482;6,986957;-1,023735;-2,769334;-3,464124;0,000000;0,000000
25.03.2014;18:37:06;900,639818;-290,535141;164,200457;1,566323;-1,730103;-2,378725;-0,039555;5,961197;-11,183819;1,851332;1,121181;0,000000;0,000000
26.03.2014;18:39:57;891,129437;-301,400137;167,054703;1,534492;-1,409227;-13,887208;8,208196;-1,835473;-4,298273;3,586385;1,725073;0,000000;0,000000
27.03.2014;18:38:06;898,405719;-292,436951;162,589189;1,554512;0,093367;-4,599886;9,326552;-3,718281;-11,475980;4,238111;2,429139;0,000000;0,000000
28.03.2014;18:39:34;895,260526;-309,782629;160,959288;1,374375;-4,983135;-8,499092;14,200334;-11,493090;-8,775282;5,287483;3,059520;0,000000;0,000000
31.03.2014;18:38:14;876,392082;-301,455432;151,887484;1,433103;-0,143960;-2,809168;14,173859;-13,532636;-13,274171;0,961498;3,200579;0,000000;0,000000
01.04.2014;18:39:19;877,673389;-278,573011;143,160876;1,576763;3,818579;-6,432113;17,574596;-4,207213;-13,903604;0,011929;3,175405;0,000000;0,000000
02.04.2014;18:39:29;877,660900;-319,939580;142,495829;1,083890;-3,694624;-4,965701;13,034282;-14,840102;-16,265296;5,582892;9,436773;0,000000;0,000000
03.04.2014;18:37:17;873,585010;-331,067024;137,294324;0,872396;-4,175179;4,074423;7,228737;-18,326291;-15,288537;4,234473;8,269583;0,000000;0,000000
04.04.2014;18:37:48;861,465816;-349,823220;129,825777;0,726816;-9,561711;0,775398;7,756648;-17,049972;-13,277830;4,358572;7,826988;0,000000;0,000000
07.04.2014;18:39:52;876,498597;-342,053136;119,902370;0,779333;-5,316558;5,599814;7,898280;-23,505775;-20,063128;8,517384;10,275468;0,000000;0,000000
08.04.2014;18:39:53;864,613939;-347,221545;115,287600;0,669073;-2,060105;9,108675;2,352704;-26,708444;-14,894361;7,019504;8,535819;0,000000;0,000000
09.04.2014;18:37:20;870,282517;-325,847251;109,603153;0,780626;11,664961;16,875809;-1,550990;-22,393335;-17,680265;3,312512;7,507506;0,000000;0,000000
10.04.2014;18:38:54;881,626073;-296,021883;102,065095;1,302957;3,446456;20,320596;6,384611;-19,276940;-13,061176;2,466851;4,967053;0,000000;0,000000
11.04.2014;18:39:53;889,679040;-285,410206;96,647888;1,528084;-2,491232;11,263613;10,713884;-13,118186;-13,288881;2,834708;4,910775;0,000000;0,000000
14.04.2014;18:37:50;892,904150;-298,492913;92,922409;1,163412;-8,914471;8,352064;13,080076;-16,471335;-18,995121;4,399540;7,360031;0,000000;0,000000
15.04.2014;18:39:48;899,615646;-325,181857;87,426115;0,911710;-12,759038;8,094053;7,818489;-16,686248;-22,041372;9,972168;10,177268;0,000000;0,000000
16.04.2014;18:39:45;909,056697;-314,428938;81,896146;1,207913;0,011248;11,029621;6,979957;-14,740537;-15,229685;7,328013;5,393163;0,000000;0,000000
17.04.2014;18:38:49;916,522121;-298,109699;79,611921;1,617444;-0,020698;-5,508411;16,452541;-5,073271;-11,024649;1,700350;2,512649;0,000000;0,000000
18.04.2014;18:38:59;902,262005;-292,480269;77,377005;1,574677;-7,743547;1,378169;17,046734;-8,250698;-7,143239;2,050705;0,386262;0,000000;0,000000
21.04.2014;18:38:00;908,571480;-286,113601;76,232401;1,681672;-0,030310;0,029924;8,626471;-1,307449;-11,980569;4,158397;-0,021513;0,000000;0,000000
22.04.2014;18:36:36;907,874774;-296,528840;76,622070;1,467622;-1,763109;-4,338237;12,694988;-6,267715;-12,308218;4,887015;4,397784;0,000000;0,000000
23.04.2014;18:39:58;920,146778;-279,743502;73,244167;1,843688;4,454981;-5,401381;3,235926;3,087745;-6,417183;1,548253;1,919261;0,000000;0,000000
24.04.2014;18:38:47;933,214183;-288,104196;75,390973;1,783548;2,206278;-11,402720;3,319694;2,337013;-2,695730;0,751812;1,302615;0,000000;0,000000
25.04.2014;18:37:30;964,423867;-270,945042;76,458615;2,108230;8,872417;-21,188062;-13,641118;17,946971;-0,790656;0,704851;1,321974;0,000000;0,000000
28.04.2014;18:39:25;961,208367;-289,722019;86,430972;1,762916;16,360193;-19,673001;-9,620998;18,602689;2,401009;-2,762727;-3,773051;0,000000;0,000000
